,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Class
319,27,female,1,own,little,little,3643,15,furniture/equipment,1
320,28,male,3,own,little,moderate,4249,30,car,2
321,32,male,2,own,little,little,1938,24,radio/TV,2
322,34,male,3,free,little,little,2910,24,car,1
323,28,male,2,own,rich,little,2659,18,furniture/equipment,1
324,36,female,2,own,little,NA,1028,18,car,1
325,39,male,1,own,little,little,3398,8,car,1
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,1
327,34,female,2,own,rich,NA,1525,24,car,1
328,31,male,2,own,little,rich,4473,36,radio/TV,1
329,28,male,2,own,little,moderate,1068,6,radio/TV,1
330,75,male,3,free,little,little,6615,24,car,1
331,30,female,2,own,moderate,NA,1864,18,education,2
332,24,female,3,own,moderate,moderate,7408,60,car,2
333,24,female,1,rent,moderate,NA,11590,48,car,2
334,23,male,2,rent,little,little,4110,24,furniture/equipment,2
335,44,male,3,rent,little,little,3384,6,furniture/equipment,2
336,23,female,1,own,little,moderate,2101,13,radio/TV,1
337,24,female,2,rent,NA,little,1275,15,domestic appliances,2
338,28,male,2,own,little,little,4169,24,furniture/equipment,1
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,1
340,24,female,2,free,little,moderate,5743,24,education,1
341,26,female,1,rent,little,little,3599,21,furniture/equipment,1
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,1
343,33,male,3,own,little,moderate,4439,18,business,1
344,37,male,1,own,little,rich,3949,10,car,1
345,43,female,1,own,little,NA,1459,15,radio/TV,1
346,23,male,2,own,little,moderate,882,13,radio/TV,1
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,1
348,34,male,1,own,moderate,NA,1743,6,business,1
349,32,male,2,free,rich,moderate,1136,9,education,2
350,23,female,2,rent,little,NA,1236,9,domestic appliances,1
351,29,female,2,own,little,moderate,959,9,furniture/equipment,2
352,38,male,3,own,NA,NA,3229,18,car,1
353,28,male,2,rent,little,little,6199,12,radio/TV,2
354,46,male,2,free,quite rich,NA,727,10,education,1
355,23,male,1,own,little,moderate,1246,24,car,2
356,49,male,2,own,NA,NA,2331,12,radio/TV,1
357,26,male,3,own,little,NA,4463,36,radio/TV,2
358,28,male,2,own,little,NA,776,12,radio/TV,1
359,23,female,2,rent,little,little,2406,30,furniture/equipment,2
360,61,male,2,free,NA,moderate,1239,18,education,1
361,37,male,3,own,NA,rich,3399,12,radio/TV,1
362,36,female,2,own,little,rich,2247,12,car,1
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,1
364,25,male,0,own,little,little,2473,18,furniture/equipment,2
365,36,male,2,own,little,NA,1542,12,business,1
366,27,male,2,own,little,NA,3850,18,car,1
367,22,female,2,rent,little,little,3650,18,furniture/equipment,1
368,42,male,2,own,little,little,3446,36,furniture/equipment,2
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,1
370,36,male,2,own,NA,NA,3079,36,car,1
371,33,male,2,own,little,NA,6070,18,radio/TV,1
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,1
373,63,male,3,free,NA,NA,13756,60,car,1
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,2
375,37,female,2,rent,little,little,7685,48,business,2
376,34,male,2,own,little,NA,2320,18,radio/TV,1
377,36,male,2,free,NA,NA,846,7,radio/TV,1
378,57,male,3,free,little,moderate,14318,36,car,2
379,52,female,1,own,moderate,NA,362,6,car,1
380,39,male,2,own,NA,little,2212,20,furniture/equipment,1
381,38,female,3,free,little,moderate,12976,18,car,2
382,25,female,2,rent,NA,NA,1283,22,car,1
383,26,male,2,own,little,rich,1330,12,car,1
384,26,male,1,own,moderate,NA,4272,30,business,1
385,25,female,2,own,little,NA,2238,18,radio/TV,1
386,21,female,2,rent,NA,NA,1126,18,radio/TV,1
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,1
388,27,male,2,own,quite rich,moderate,2326,15,business,1
389,27,female,2,own,little,NA,1449,9,business,1
390,30,male,3,own,little,NA,1820,18,car,1
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,1
392,39,male,3,free,little,little,3249,36,car,1
393,31,female,2,own,little,little,1957,6,radio/TV,1
394,31,male,3,own,little,NA,2406,9,furniture/equipment,1
395,32,male,2,rent,moderate,moderate,11760,39,education,1
396,55,female,3,free,little,little,2578,12,furniture/equipment,1
397,46,male,2,own,little,little,2348,36,furniture/equipment,1
398,46,male,2,rent,little,moderate,1223,12,car,2
399,43,female,1,own,rich,NA,1516,24,radio/TV,1
400,39,male,2,own,little,NA,1473,18,radio/TV,1
401,28,male,2,own,NA,moderate,1887,18,business,1
402,27,male,2,own,little,NA,8648,24,business,2
403,27,male,1,own,little,NA,802,14,car,1
404,43,male,2,own,NA,moderate,2899,18,car,1
405,22,male,2,own,little,moderate,2039,24,radio/TV,2
406,43,male,2,own,NA,NA,2197,24,car,1
407,27,male,2,own,little,little,1053,15,radio/TV,1
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,1
409,28,male,2,own,quite rich,rich,939,12,car,2
410,20,female,2,own,little,moderate,1967,24,radio/TV,1
411,35,male,3,own,little,NA,7253,33,car,1
412,42,male,3,own,little,NA,2292,12,business,2
413,40,male,1,rent,quite rich,NA,1597,10,car,1
414,35,female,2,own,NA,little,1381,24,car,2
415,35,male,2,own,little,NA,5842,36,car,1
416,33,male,1,own,little,little,2579,12,car,2
417,23,female,2,rent,NA,little,8471,18,education,1
418,31,female,3,own,quite rich,NA,2782,21,car,1
419,33,female,2,own,NA,moderate,1042,18,car,2
420,20,female,2,rent,rich,NA,3186,15,car,1
421,30,male,2,own,NA,moderate,2028,12,car,1
422,47,male,1,own,little,moderate,958,12,car,1
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,1
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,2
425,21,male,2,rent,little,moderate,2779,18,car,1
426,29,male,2,own,little,NA,2743,28,radio/TV,1
427,46,male,2,own,rich,NA,1149,18,radio/TV,1
428,20,male,2,own,little,NA,1313,9,furniture/equipment,1
429,55,female,0,free,little,little,1190,18,repairs,2
430,74,male,1,own,little,NA,3448,5,business,1
431,29,male,3,own,little,moderate,11328,24,vacation/others,2
432,36,male,3,free,little,little,1872,6,furniture/equipment,1
433,33,male,2,own,little,NA,2058,24,repairs,1
434,25,male,2,own,little,little,2136,9,furniture/equipment,1
435,25,male,2,own,NA,moderate,1484,12,radio/TV,2
436,23,male,1,rent,quite rich,NA,660,6,repairs,1
437,37,female,2,own,rich,NA,1287,24,car,1
438,65,male,0,own,little,little,3394,42,repairs,1
439,26,female,0,own,little,rich,609,12,business,2
440,39,male,3,own,little,NA,1884,12,car,1
441,30,female,2,own,little,little,1620,12,furniture/equipment,1
442,29,male,2,own,little,moderate,2629,20,vacation/others,1
443,41,male,1,own,little,NA,719,12,education,2
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,2
445,41,female,1,rent,NA,NA,1244,9,education,1
446,34,female,2,own,little,little,1842,36,car,2
447,35,male,2,own,little,moderate,2576,7,radio/TV,1
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,1
449,61,male,2,own,rich,moderate,1512,15,repairs,2
450,30,male,3,own,NA,NA,11054,36,car,1
451,29,female,2,own,little,NA,518,6,radio/TV,1
452,34,male,2,own,little,NA,2759,12,furniture/equipment,1
453,35,male,3,own,little,NA,2670,24,car,1
454,31,male,2,own,little,little,4817,24,car,2
455,29,female,3,own,little,NA,2679,24,car,1
456,36,male,2,rent,little,little,3905,11,car,1
457,35,male,2,free,little,little,3386,12,car,2
458,27,female,2,own,little,little,343,6,domestic appliances,1
459,32,male,2,own,little,NA,4594,18,radio/TV,1
460,37,male,2,own,little,little,3620,36,furniture/equipment,1
461,36,male,2,own,little,little,1721,15,car,1
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,1
463,38,male,2,own,NA,moderate,754,12,education,1
464,34,male,2,own,little,NA,1950,18,business,1
465,63,male,2,own,little,little,2924,24,car,1
466,29,female,1,rent,little,little,1659,24,radio/TV,2
467,32,male,2,own,NA,NA,7238,48,radio/TV,1
468,26,female,2,own,little,NA,2764,33,business,1
469,35,male,1,own,little,NA,4679,24,car,1
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,2
471,23,female,2,own,little,little,448,6,education,2
472,28,male,1,own,little,little,654,9,car,2
473,36,male,3,own,NA,NA,1238,6,education,1
474,33,male,2,own,little,moderate,1245,18,radio/TV,2
475,26,female,2,rent,little,little,3114,18,furniture/equipment,2
476,24,male,2,own,quite rich,NA,2569,39,car,1
477,25,male,2,own,little,rich,5152,24,radio/TV,1
478,39,male,1,own,moderate,moderate,1037,12,business,1
479,44,male,2,own,little,little,1478,15,furniture/equipment,1
480,23,female,1,own,little,moderate,3573,12,radio/TV,1
481,26,male,2,own,little,moderate,1201,24,car,1
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,1
483,30,female,2,own,rich,NA,960,15,furniture/equipment,1
484,44,male,2,own,quite rich,NA,1163,12,car,1
485,47,male,3,own,little,moderate,1209,6,car,2
486,52,male,2,own,little,NA,3077,12,radio/TV,1
487,62,female,2,free,little,NA,3757,24,car,1
488,35,male,1,rent,moderate,NA,1418,10,car,1
489,26,male,2,rent,little,NA,3518,6,car,1
490,26,male,2,own,little,NA,1934,12,radio/TV,1
491,42,female,3,free,little,moderate,8318,27,business,2
492,27,female,2,own,moderate,NA,1237,6,radio/TV,1
493,38,male,2,own,NA,moderate,368,6,radio/TV,1
494,39,male,1,rent,little,little,2122,12,car,1
495,20,male,2,own,NA,little,2996,24,furniture/equipment,2
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,2
497,40,male,2,own,little,NA,1585,24,furniture/equipment,1
498,32,male,1,own,little,moderate,1301,18,radio/TV,1
499,28,male,2,own,moderate,rich,1323,6,car,1
500,27,female,2,own,little,little,3123,24,car,2
501,42,male,2,free,little,little,5493,36,car,1
502,49,male,2,own,moderate,rich,1126,9,radio/TV,1
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,2
504,24,female,2,rent,little,little,1207,24,car,2
505,27,male,1,own,NA,NA,1309,10,car,2
506,36,male,2,own,quite rich,rich,2360,15,car,1
507,34,male,3,own,moderate,moderate,6850,15,car,2
508,28,male,2,own,little,NA,1413,24,radio/TV,1
509,45,male,3,own,moderate,NA,8588,39,car,1
510,26,male,2,own,little,little,759,12,car,2
511,32,male,3,free,little,NA,4686,36,car,1
512,26,male,2,rent,little,rich,2687,15,business,1
513,20,male,2,rent,little,moderate,585,12,radio/TV,1
514,54,male,2,own,NA,NA,2255,24,car,1
515,37,female,2,own,little,little,609,6,car,1
516,40,male,1,own,little,little,1361,6,car,1
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,2
518,43,male,2,own,moderate,little,1203,6,car,1
519,36,male,2,free,NA,NA,700,6,radio/TV,1
520,44,male,2,free,little,NA,5507,24,repairs,1
521,24,female,2,own,little,little,3190,18,radio/TV,2
522,53,male,2,free,little,little,7119,48,furniture/equipment,2
523,23,female,2,own,moderate,NA,3488,24,car,1
